V26	New	Yr1	Yr5	Yr6	Yr7	Yr8	Yr9	Yr10	Yr15	Yr17	Yr24	Yr26	Yr27	Yr31	Yr32	Yr43	Yr44	YrExp2	YrSP	YrTr1	Yr76
Av26	Eth-1	1	0	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0
Av26	Pak-1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0
Av26	Tur-1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0
Av26	Chi-1	1	0	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0
Av26	Ger-1	1	0	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	1	0	0
Av26	Eth-2	1	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0
Av26	GS-5	1	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0
Av26	Mex-2	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0
Av26	Tur-2	1	0	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	0	1	1
Av26	US-1	1	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0
Av26	XJ-1	1	0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0
Av26	XZ-13	1	0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0
Av26	XZ-21	1	0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0
Av26	YN-2	1	0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0
Av26	GS-12	1	0	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	1	0	1
Av26	GS-14	1	0	1	1	0	1	0	0	1	0	0	1	1	0	1	1	0	1	0	1
Av26	GS-20	1	0	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	1	0	1
Av26	GS-4	1	0	1	1	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	1
Av26	HB-1	1	0	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	1	0	1
Av26	QH-1	1	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	0	1
Av26	QH-2	1	0	1	1	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	1
Av26	QH-4	1	0	1	1	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	1
Av26	XZ-1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0
Av26	XZ-11	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
Av26	XZ-14	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	1
Av26	XZ-20	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	1
Av26	XZ-2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
Av26	XZ-22	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
Av26	XZ-3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
Av26	XZ-5	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1
Av26	XZ-7	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
V26	Geo-1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0
V26	GS-1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	0	0	1
V26	GS-15	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1
V26	GS-17	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1
V26	GS-3	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1
V26	GS-8	1	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1
V26	GS-9	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	0	0	1
V26	GZ-1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0
V26	PL17-7	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	0	0	1
V26	QH-3	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1
V26	SC-1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1

