Pheno1	Pheno0	V26	New
10	10	Av26	Eth-1
10	10	Av26	Pak-1
11	9	Av26	Tur-1
11	9	Av26	Chi-1
11	9	Av26	Ger-1
11	9	Av26	Eth-2
9	11	Av26	GS-5
11	9	Av26	Mex-2
14	6	Av26	Tur-2
12	8	Av26	US-1
10	10	Av26	XJ-1
10	10	Av26	XZ-13
10	10	Av26	XZ-21
10	10	Av26	YN-2
12	8	Av26	GS-12
11	9	Av26	GS-14
12	8	Av26	GS-20
10	10	Av26	GS-4
12	8	Av26	HB-1
13	7	Av26	QH-1
10	10	Av26	QH-2
10	10	Av26	QH-4
7	13	Av26	XZ-1
4	16	Av26	XZ-11
9	11	Av26	XZ-14
10	10	Av26	XZ-20
4	16	Av26	XZ-2
4	16	Av26	XZ-22
4	16	Av26	XZ-3
8	12	Av26	XZ-5
4	16	Av26	XZ-7
11	9	V26	GZ-1
12	8	V26	GS-1
12	8	V26	GS-8
12	8	V26	GS-9
12	8	V26	PL17-7
14	6	V26	Geo-1
14	6	V26	SC-1
15	5	V26	GS-3
15	5	V26	QH-3
16	4	V26	GS-15
16	4	V26	GS-17
