	Yr6	Yr7	Yr8	Yr9	Yr10	Yr17	Yr24	Yr26	Yr27	Yr32	Yr43	YrSp	YrTr1	YrExp2	YrTye
Tur-1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0
Chi-1	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0
XZ-21	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0
Eth-2	1	1	1	1	0	1	0	0	1	0	1	0	0	1	0
Geo-1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0
GS-5	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0
Ger-1	1	1	0	1	0	1	0	0	1	0	1	1	0	1	0
Mex-2	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0
Pak-1	1	1	1	1	0	1	0	0	1	0	1	0	0	1	0
Eth-1	1	1	1	1	0	1	0	0	1	0	1	0	0	1	0
PL17-7	0	1	0	1	1	1	1	1	0	1	0	0	0	1	1
Tur-2	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1
US-1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0
XJ-1	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0
XZ-13	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0
YN-2	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0
XZ-20	1	1	0	1	0	0	0	0	1	0	0	0	1	1	1
GS-1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	1
GS-9	0	1	0	1	1	0	1	1	1	1	0	0	0	1	1
GS-12	1	1	0	1	0	1	0	0	1	0	1	1	0	1	1
GS-15	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1
GS-17	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1
GS-3	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1
GS-4	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1
GS-8	0	0	0	1	1	1	1	1	1	1	0	1	0	0	1
GZ-1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0
HB-1	1	1	0	1	0	1	0	0	1	0	1	1	0	1	1
GS-20	1	1	0	1	0	1	0	0	1	0	1	1	0	1	1
GS-14	1	1	0	1	0	1	0	0	1	0	1	1	0	0	1
QH-1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1
QH-2	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1
QH-3	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1
QH-4	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1
SC-1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1
XZ-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
XZ-1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
XZ-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
XZ-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
XZ-14	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1
XZ-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
XZ-5	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1
XZ-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
